(D)1. 下列何者非行政程序法第一條之立法目的？
(A) 附條件
(B) 附期限
(C) 附空間
(D) 附保留廢止權

(A)241. 若公費留學考試及格人員之錄取函載明，應於取得國外大學入學許可證明時，始得申請核發獎學金'此屬何種行政處分之附款？
(A) 條件
(B) 負擔
(C) 保留行政處分之廢止權
(D) 保留負擔之事後附加或變更

(D)242. 依行政程序法第93條規定，行政機關作成行政處分有裁量權時，得為附款，以下何者非附款？
(A) 期限
(B) 條件
(C) 保留負擔之事後附加或變更
(D) 保留行政處分之終止權

(C)243. 關於行政處分之附款，下列敘述何者正確？
(A) 羈束處分均不得附加附款
(B) 裁量處分限於確保行政處分法定要件履行時，始可附加附款
(C) 附款與羈束處分之目的不具正當合理之關聯者，不得附加
(D) 附款不得為保留負擔之事後附加，否則違反明確性原則

(C)244. 主管機關依甲之申請核發社會救助金，附加附款要求甲應定期提出經濟狀況報告。該附款之種類為何？
(A) 條件
(B) 廢止權保留
(C) 負擔
(D) 期限

(B)245. 關於行政處分之附款，下列敘述何者錯誤？
(A) 行政機關作成行政處分有裁量權時，得附條
(B) 行政機關作成行政處分無裁量權時，僅得附期限
(C) 行政機關作成行政處分無裁量權時，仍得附負擔
(D) 行政機關作成行政處分有裁量權時，得保留行政處分之廢止權

(B)246. 某行政處分之附款內容為「相對人應於行政處分送達翌日起30天內，無償捐贈給本國公益團體20萬元後，本處分始生效力，此附款應屬下列何種附款？
(A) 期限
(B) 條件
(C) 負擔
(D) 留行政處分之廢止權

(C)247. 行政機關於核發之建照中，註明建造人於建築物完工後，應於社區公園內栽種樹木10株，以綠化環境。此建照附有那一種附款？
(A) 條件
(B) 期限
(C) 負擔
(D) 廢止保留

(D)248. 承上題，關於此建照附款之合法性，下列何者正確？
(A) 附款之目的為綠化環境，具有公益性，該附款合法
(B) 附款額外課予建造人一定之義務，違反法律保留原則
(C) 栽種樹木有助於提昇居民的居住品質，該附款合法
(D) 附款之目的與建築管制無第一篇行政程用法43關，違反禁止不當聯結原則

(B)249. 下列何者為行政處分之附款？
(A) 人民申請10層樓房屋之建造執照，雖經核准但核發8層樓房屋的建造執照
(B) 人民申請房屋建造執照，經核准卻加註記「當地若日後變更為行水區，房屋必須拆除」
(C) 人民報考駕駛執照，主管機關核發駕駛執照並於駕照種類欄註記「普通小型車」
(D) 行政機關核發營業許可，但註記「應遵守相關法規」

(B)250. 依行政程序法第93條之規定，行政處分得附加之附款，下列何者不屬之？
(A) 保留行政處分之廢止權
(B) 保留行政處分之撤銷權
(C) 保留負擔之事後變更
(D) 保留負擔之事後附加

(A)251. 某行政處分之附款記載：「待國際油價漲幅超過五成時，原處分所定之給付始得發給」。請問此附款應屬下列何者？
(A) 條件
(B) 期限
(C) 負擔
(D) 保留負擔之變更

(A)252. 准許德國人甲在臺居留，但不得就業，是何種行政處分之附款？
(A) 附負擔
(B) 附期限
(C) 附條件
(D) 附保留廢止權

(A)253. 下列何者並非行政程序法所規定之行政處分之附款種類？
(A) 機會
(B) 條件
(C) 期限
(D) 負擔

(C)254. 下列處分何者不是授益處分？
(A) 准予某甲之水權登記
(B) 准許乙藥廠之新藥上市
(C) 認定某丙之房屋為違建
(D) 內政部准許外國人丁歸化為我國國籍

(A)255. 下列有關行政處分轉換何者錯誤？
(A) 行政處分違反土地管轄之估定者，不得轉換
(B) 除有行政程序法第103條之事由者外，行政機關於轉換前應改與當事人陳述意見之機會
(C) 羈束處分不得轉換為裁量處分
(D) 轉換不符作成原行政處分之目的者，不得為之

(B)256. 行政處分應以證書方式作成而未給予證書者，其效力如何？
(A) 有效
(B) 無效
(C) 經補正後有效
(D) 經行政處分相對人同意後始為有效

(A)257. 下列何者不屬於行政程序法所規定之行政處分附款？
(A) 法律效果一部除外
(B) 條件
(C) 保留廢止權
(D) 負擔之保留

(D)258. 依行政程序法之規定，下列何者非行政處分之附款？
(A) 條件
(B) 負擔
(C) 保留廢止權
(D) 法律效果之註記

(A)259. 下列何者不屬於行政程序法所規定有關廢止授予利益合法行政處分之原因？
(A) 對重要事項提供不正確資料或為不完全陳述，致使行政機關依該資料或陳述而作成行政處分者
(B) 原處分機關保留行政處分之廢止權者
(C) 行政處分所依據之法規或事實事後發生變更，致不廢止該處分對公益將有危害者
(D) 附負擔之行政處分，受益人未履行該負擔者

(C)260. 有關行政處分附款之規定，下列敘述何者錯誤？
(A) 不得違背行政處分之目的
(B) 應與行政處分之目的具有正當合理之關聯
(C) 無裁量權之行政處分，一律不得為附款
(D) 附款之作用在於補充或限制行政處分之效力

(B)261. 行政程序法規定，關於行政處分之附款，下列敘述何者錯誤？
(A) 行政機關作成行政處分有裁量權時，得為附款
(B) 行政機關作成行政處分無裁量權時，不得為任何附款
(C) 附款內容應明確
(D) 附款應與該處分之目的具有正當合理之關聯

(D)262. 下列何者非行政程序法明定之行政處分附款？
(A) 條件
(B) 期限
(C) 負擔
(D) 保留條件之事後變更

(D)263. 有關行政處分之附款，下列敘述何者錯誤？
(A) 附款之內容對任何人均屬不能實現者，該附款無效
(B) 附款之內容不得違背行政處分之目的
(C) 附款之內容應與行政處分之目的具有正當合理之關聯
(D) 不服附款者，僅得於對行政處分聲明不服時一併聲明之

(D)264. 有關於行政處分之附款，下列敘述何者錯誤？
(A) 行政機關對裁量處分得為附款
(B) 行政處分附款不得違背行政處分之目的
(C) 行政處分附款應與處分目的具有正當合理之關聯
(D) 附解除條件之行政處分，於條件成就時，須待行政機關為廢止，始失其效力

(B)265. 行政程序法第94條規定，行政處分之附款應與該處分之目的具有正當合理之關聯。此乃下列何種原則？
(A) 正當法律程序原則
(B) 禁止不當聯結原則
(C) 比例原則
(D) 信賴保護原則

(B)266. 依行政程序法規定，對於行政處分之附款敘述，下列何者錯誤？
(A) 可保留負擔之事後附加或變更
(B) 可與該行政處分之目的無正當合理之關聯
(C) 可附條件或期限
(D) 可保留行政處分之廢止權

(A)267. 關於行政程序法之規定，下列何者涉及不當聯結禁止原則？
(A) 第94條規定，行政處分之附款不得違背行政處分之目的，並應與該處分之目的具有正當合理之關聯
(B) 第95條第2項規定，以書面以外方式所為之行政處分，其相對人或利害關係人有正當理由要求作成書面時，處分機關不得拒絕
(C) 第96條第1項第6款規定，書面行政處分應為教示
(D) 97條第1款規定，關於未限制人民權益之書面行政處分，得不記明理由

(B)268. 行政機關作成行政處分時，關於附款下列敘述何者錯誤？
(A) 附款不得違背行政處分之目的
(B) 無裁量權之行政處分，皆不得為附款
(C) 有裁量權之行政處分，得為附款
(D) 附款應與該處分之目的具有正當合理之關聯

(A)269. 依行政程序法規定，行政處分之附款應與該處分之目的具有正當合理之關聯，為下列何種原則之具體展現？
(A) 不當聯結禁止原則
(B) 法律保留原則
(C) 法律明確性原則
(D) 信賴保護原則

(D)270. 依據我國行政程序法之規定，下列有關行政處分之敘述何者錯誤？
(A) 行政處分係指行政機關就公法上具體事件所為之決定或其他公權力措施，而對外直接發生法律效果之單方行政行為
(B) 行政機關作成行政處分有裁量權時，得為附款'如期限、條件等
(C) 行政處分得以書面、言詞或其他方式為之
(D) 以書面以外方式所為.之行政處分，其相對人或利害關係人不得要求作成書面處分

(B)271. 行政機關以書面以外方式所為之行政處分，其相對人如有正當理由要求作成書面，處分機關原則上應如何辦理？
(A) 委婉告知事由
(B) 不得拒絕
(C) 審酌有無必要
(D) 提請上級機關決定

(D)272. 依行政程序法規定，下列何項為行政處分書應記載事項？
(A) 行政處分之條件
(B) 行政處分之效力
(C) 行政處分之陳述權
(D) 不服行政處分之救濟方法、期間及其受理機關

(C)273. 依行政程序法規定，關於書面行政處分記載之內容，下列敘述何者錯誤？
(A) 記載違規事實者，應載明違規之行為、時間、地點等及與適用法令有關之事項
(B) 記載之內容應明確，須達可得確定之程度
(C) 不能由書面行政處分得知處分機關者，得於行政訴訟程序中補正之
(D) 記載之事實未明確，至無法達可得確定之程度者，違反行政程序法之方式規定

(A)274. 下列關於書面行政處分之敘述，何者錯誤？
(A) 其以自動機器作成者，得不記載事實及理由，而僅記載主旨及法令依據
(B) 除一般處分外，其已知有利害關係人者，該處分除應送達相對人外，並應一併對該已知之利害關係人為送達
(C) 其一併對已知之利害關係人為送達者，該處分自送達時起，亦對該已知之利害關係人發生效力
(D) 其不能由書面處分中得知處分機關者，該處分無效

(D)275. 關於書面行政處分應記載事項之敘述，下列何者錯誤？
(A) 使相對人了解其受處分之原因事實及其依據之法令者，即無欠缺明確性原則
(B) 理由是否構成瑕疵而足以影響行政處分之效力者，應就處分主旨為整體之綜合判斷
(C) 應記明理由，未經記明理由者，於訴願程序終結前得為補正
(D) 證據取捨之心證並非行政處分之事實或理由，故非屬應記載之事項

(D)276. 關於書面行政處分應記載事項之敘述，何者得不經署名，以蓋章為之？
(A) 對不特定但可依一般性特徵加以確定之人所為之處分
(B) 公務的設定、變更予廢止公用之處分
(C) 大量同種類之行政處分
(D) 以自動機器作成之大量行政處分

(B)277. 依行政程序法規定，關於書面行政處分應記載之事項，下列何者錯誤？
(A) 行政處分相對人為法人時，其管理人或代表人之姓名、出生年月日、性別、身分證統一號碼、住居所
(B) 處分機關承辦人之姓名、職稱、性別及聯絡方式
(C) 作成行政處分之法令依據
(D) 不服行政處分之救濟方法

(C)278. 下列何者並非行政程序法第97條規定書面行政處分得不記明理由之情形？
(A) 未限制人民之權益者
(B) 大量作成之同種類行政處分或以自動機器作成之行政處分依其狀況無須說明理由者
(C) 情況急迫不及記明者
(D) 一般處分經公告或刊登政府公報或新聞紙者

(C)279. 下列何項行政處分得不記明理由？
(A) 駁回設置餐飲業之申請
(B) 指定古蹟之公告
(C) 參加高等考試未獲錄取之通知
(D) 財政部臺北市國稅局變更原申報另為核定應納稅款

(D)280. 下列何種書.面行政處分得不記明理由？
(A) 對人民權益限制程度輕微者
(B) 處分相對人顯無能力理解者
(C) 處分之相對人為現役軍人者
(D) 一般處分經公告者

(A)281. 下列何者並非書面行政處分得不記明理由之原因？
(A) 未附有附款者
(B) 未限制人民權利者
(C) 處分相對人或利害關係人無待處分機關之說明已知悉或可知悉作成處分之理由者
(D) 依法律規定無須記明理由者

(A)282. 下列何種書面之行政處分，應記明理由？
(A) 核發敬老津貼之處分
(B) 刊登在政府公報上之一般處分
(C) 交通違規罰單
(D) 國家考試之評分

(D)283. 書面之行政處分，符合一定情形者，得不記明理由，下列|何者不包括在內|?
(A) 一般處分經公告或刊登政府公報或新聞紙
(B) 有關專門知識、技能或資格所為之考試、檢定或鑑定等程序
(C) 處分相對人或利害關係人無待處分機關之說明已知悉或可知悉作成處分之理由
(D) 限制人民之權益

(D)284. 依據行政程序法第98條規定，處分機關告知之救濟期間有錯誤時，應由該機關以通知更正之，並自何時起算法定期間？
(A) 發現錯誤之日起算
(B) 發現錯誤之翌日起算
(C) 通知送達之日起算
(D) 通知送達之翌日起算

(B)285. 依據我國行政程序法之規定，處分機關告知之救濟期間有錯誤時，應由該機關已通知更正之，並自何時起算法定期間？
(A) 通知送達之日起算
(B) 通知送達之翌日起算
(C) 通知送達十日後起算
(D) 通知送達三十日後起算

(C)286. 處分機關未告知救濟期間，致相對人遲誤者，自處分書送達後多久期間內聲明不服時，視為於法定期間內所為？
(A) 3個月
(B) 6個月
(C) 1年
(D) 2年(§98)

(C)287. 依據行政程序法，處分機關未告知救濟期間或告知錯誤未為更正，致相對人或利害關係人遲誤者，如自處分書送達後多久時間內聲明不服時，視為於法定期間內所為？
(A) 3個月
(B) 6個月
(C) l年
(D) 3年

(A)288. 行政機關作成行政處分時，處分機關未告知救濟期間或告知之救濟期間有錯誤時，依行政程序法第98條規定，相對人或利害關係人提起救濟效力，下列何者錯誤？
(A) 未告知救濟期間者，行政處分無效
(B) 通知更正，自通知送達之翌日起算法定期間
(C) 通知更正，但信賴原告知較長期間，於原告知之期間內為之者，視為於法定期間內所為
(D) 告知錯誤未為更正，致遲誤原時間者，自處分書送達後一年內聲明不服時，視為於法定期間內所為

(A)289. 下列有關行政處分以書面告知之救濟期間有錯誤之補救措施，何者正確？
(A) 應由該機關以通知更正之，並自通知送達之翌日起算法定期間
(B) 應由該機關以通知更正之，並自通知送達之日起算法定期間
(C) 應由該機關之上級機關以通知更正之，並自通知送達之翌日起算法定期間
(D) 應由該機關之上級機關以通知更正之，並自通知送達之日起算法定期間

(C)290. 作成行政處分之處分機關未告知救濟期間或告知錯誤未為更正，致相對人或利害關係人遲誤者，如自處分書送達後多少期間內聲明不服者，視為於法定期間內所為？
(A) 2個月
(B) 6個月
(C) l年
(D) 2年

(D)291. 依行政程序法規定，違法行政處分於法定救濟期間經過後，下列何者得依職權為全部或一部之撤銷？
(A) 僅原處分機關
(B) 僅上級機關
(C) 行政法院
(D) 原處分機關或其上級機關

(A)292. 行政處分機關未告知救濟期間，導致相對人遲誤提起救濟者，若相對人於下列何種期間內聲明不服時，視為於法定期間內所為？
(A) 處分書送達後一年內
(B) 相對人知悉遲誤起一年內
(C) 原救濟期間終了時起一年內
(D) 由救濟機關視具體情況而定

(D)293. 行政處分因機關告知之救濟期間有錯誤，依法應以通知為更正，並自何時起算法定期間？
(A) 原行政處分送達之翌日
(B) 原行政處分送達之當日
(C) 更正通知送達之當日
(D) 更正通知送達之翌日

(B)294. 關於行政處分未為教示或教示錯誤之敘述，下列何者錯誤？
(A) 告知之救濟期間有錯誤時，應由該機關以通知更正之
(B) 告知之救濟期間較法定期間為長者，處分機關若通知更正，則仍得自處分送達之翌日起算法定期間
(C) 未告知救濟期間或告知錯誤未為更正，致相對人或利害關係人遲誤者，其法定救濟期間原則延長為1年
(D) 因處分機關未告知或告知錯誤致向無管轄權之機關聲明不服者，視為自始向有管轄權之機關聲明不服

(B)295. 依行政程序法之規定，有關書面之行政處分，下列敘述何者錯誤？
(A) 處分機關告知之救濟期間有錯誤時，應由該機關以通知更正之
(B) 未經授權而違背法規有關專屬管轄之規定者，得更正之
(C) 行政處分如有誤寫、誤算或其他類此之顯然錯誤者，處分機關得隨時或依申請更正之
(D) 自送達相對人及已知之利害關係人起發生效力

(A)296. 依行政程序法之規定，行政處分於法定救濟期間經過後，關於人民申請撤銷之敘述，下列何者正確？
(A) 相對人或利害關係人均得提出申靖
(B) 申靖無期間之限制
(C) 申請幫由僅限於發現新證據
(D) 因重大過失而未能在救濟程序中主張其事由者，亦得提出申請

(C)297. 關於行政處分救濟教示制度之敘述，下列何者錯誤？
(A) 處分機關應將不服行政處分之救濟方法、期間及其受理機關於行政處分書中表明
(B) 處分機關告知之救濟期間有錯誤時，應由該機關以通知更正之，並自通知送達之翌日起算法定期間
(C) 處分機關未告知救濟期間者，原處分違法，得予以撤銷
(D) 處分機關告知之救濟期間錯誤，而未為更正者，相對人得自處分書送達後1年內對該處分提起救濟

(B)298. 依據我國行政程序法之規定，對於行政處分聲明不服，因處分機關未為告知或告知錯誤致向無管轄權之機關為之者，該機關應於幾日內移送有管轄權之機關，並通知當事人？
(A) 三日內
(B) 十日內
(C) 二十日內
(D) 三十日內

(D)299. 下列有關行政程序法對行政救濟相關規定之敘述何者錯誤？
(A) 機關告知之救濟期間有錯誤時，應由該機關以通知更正之。並自通知送達之翌日起算法定期間
(B) 處分機關告知之救濟期間較法定期間為長者，處分機關雖以通知更正，如相對人或利害關係人信賴原告知之救濟期間，致無法於法定期間內提起救濟，而於原告知之期間內為之者，視為於法定期間內所為
(C) 處分機關未告知救濟期間或告知錯誤未為更正，致相對人或利害關係人遲誤者，如自處分書送達後一年內聲明不服時，視為於法定期間內所為
(D) 對於行政處分聲明不服，因處分機關未為告知或告知錯誤致向無管轄權之機關為之者，該機關應於三十日內移送有管轄權之機關，並通知當事人。前項情形，視為自始向有管轄權之機關聲明不服

(A)300. 依據行政程序法規定，當事人對於行政處分聲明不服，因處分機關未為告知或告知錯誤致向無管轄權之機關為之者，該機關應於幾日內移送有管轄權之機關，並通知當事人？
(A) 10日
(B) 20日
(C) 30日
(D) 40日

(B)301. 依行政程序法之規定，有關書面之行政處分，應以何種方式相對人及已知之利害關係人知悉？
(A) 以其他適當方法通知或使其知悉
(B) 送達
(C) 公告
(D) 刊登政府公報

(A)302. 依行政程序法之規定，有關書面以外之行政處分，應以何種方式相對人及已知之利害關係人知悉？
(A) 以其他適當方法通知或使其知悉
(B) 送達
(C) 公告
(D) 刊登政府公報

(A)303. 依行政程序法之規定，有關一般處分之送達'應以何種方式代替之，下列何種為非？
(A) 以其他適當方法通知或使其知悉
(B) 送達
(C) 公告
(D) 刊登政府公報

(B)304. 有關行政處分之敘述，下列何者正確
(A) 書面之行政處分未限制人民權益者，應記名理由
(B) 書面行政處分自送達相對人發生效力
(C) 內容違背公共秩序、善良風俗之行政處分，得撤銷
(D) 授予利益之合法行政處分之廢止，應自廢止原因發生後1年內為之

(A)305. 行政處分如有誤寫、誤算等顯然錯誤情形，處分機關應如何處置？
(A) 隨時依職權或依申請更正
(B) 通知相對人舉行聽證
(C) 維持原處分
(D) 報請上級裁示

(D)306. 行政處分如有誤寫或誤算等顯然錯誤時，處分機關得為如何處理？
(A) 得於自知悉時起2年內更正之
(B) 得隨時撤銷該處分
(C) 僅得於法定救濟期間經過前更正之
(D) 得隨時更正之

(C)307. 依據行政程序法第101條規定，行政處分如有誤寫、誤算等顯然錯誤之情形1應如何處置？
(A) 由相對人提起撤銷訴願
(B) 由上級機關撤銷該處分
(C) 處分機關得隨時更正之
(D) 該行政處分當然無效

(A)308. 依照行政程序法規定，行政處分如有誤寫、誤算或其他類此之顯然錯誤者'其效力為何？
(A) 得更正
(B) 得補正
(C) 效力未定
(D) 無效

(D)309. 行政機關的裁罰書面行政處分，罰鍰金額有誤寫誤算等顯然錯誤時，下列處理方式，何者錯誤？
(A) 行政機關得依職權更正
(B) 經當事人申請更正
(C) 更正可附記於原處分書
(D) 該行政處分無效

(D)310. 關於行政處分之更正，下列敘述何者正確？
(A) 依據法規應以要式作成之行政處分未以書面作成，處分機關得隨時補製書面以更正
(B) 侵益行政處分未載明理由，經處分相對人請求後補載理由即完成更正
(C) 行政處分之內容顯然任何人均無法達成，即為行政處分之顯然錯誤，任何人均得請求更正
(D) 行政處分之更正以附記於原處分書及其正本為原則

(D)311. 依《行政程序法》規定，行政處分如有誤寫、誤算等顯然錯誤情形，處分機關應如何處置？
(A) 該處分無效
(B) 須經人民申請訴願請求撤銷
(C) 須經人民申請行政訴訟請求撤銷
(D) 處分機關得隨時依職權或依申請更正

(C)312. 行政機關作成限制或剝奪人民自由或權利之行政處分前>除已依第三十九條規定'通知處分相對人陳述意見，或決定舉行聽證者外，原則上應？
(A) 直接進行該處分
(B) 請相對人說明
(C) 應給予該處分相對人陳述意見之機會
(D) 移送司法機關

(C)313. 甲商行經查遷離原址，逾6個月未申請商業登記之變更登記，經縣政府通知仍未辦理，該縣縣政府依商業登記法第29條第1項第3款，撤銷其商業登記，則縣政府此項行為下列何者正確？
(A) 屬行政罰
(B) 屬無瑕疵行政處分
(C) 應通知商業負責人陳述意見，始得據以撤銷
(D) 不須給予商業負責人陳述意見機會

(D)314. 下列何者並非行政程序法第103條行政機關得不給予處分相對人陳述意見機會之情形？
(A) 受法定期間之限制，如予陳述意見之機會，顯然不能遵行者
(B) 自由或權利之內容及程度，顯屬輕微，而無事先聽取相對人意見之必要者
(C) 大量作成同種類之處分
(D) 受處分人之前曾受同種之處分，故可推知其係故意所為，而無陳述意見之必要

(A)315. 依行政程序法第103條規定，行政機關得不給予處分相對人陳述意見之機會，不包括下列何種情形？
(A) 情況急迫，如予陳述意見之機會，顯然違背相對人利益者
(B) 大量作成相同種類之處分
(C) 行政強制執行時所採取之各種處置
(D) 行政處分所根據之事實，客觀上明白足以確認者

(B)316. 行政機關作成行政處分時，關於附款下列敘述何者錯誤？
(A) 附款不得違背行政處分之目的
(B) 無裁量權之行政處分，皆不得為附款
(C) 有裁量權之行政處分，得為附款
(D) 附款應與該處分之目的具有正當合理之關聯

(D)317. 下列何種情形，行政機關應給予處分相對人陳述意見之機會？
(A) 開徵地價稅通知單
(B) 在COVID-19疫情期間，因未依規定佩戴口罩所給予之處分
(C) 為避免處分相對人潛逃出境，依法律之限制出境處分
(D) 市政府就某建築指定為古蹟

(C)318. 行政機關作成限制之行政處分前，應給予該處分相對人陳述意見之機會。下列那些情形，行政機關得不給予陳述意見之機會？1.作成同種類之處分不多2.行政處分所根據之事實，客觀上明白足以確認者3.限制自由或權利之內容及程度，顯屬重大4.為避免處分相對人隱匿、移轉財產或潛逃出境，依法律所為保全或限制出境之處分
(A) 1,2
(B) 3,4
(C) 2,4
(D) 2,3

(D)319. 依行政程序法規定，下列何者非屬行政機關得不給予處分相對人陳述意見機會之情形？
(A) 大量作成同種類之處分
(B) 情況急迫，如予陳述意見之機會，顯然違背公益者
(C) 行政處分所根據之事實，客觀上明白足以確認者
(D) 涉及國防機密，依法規規定有保密之必要者

(C)320. 依行政程序法第103條規定，行政機關於作成限制或剝奪人民自由或權利之行政處分前，得不給予處分相對人陳述意見之機會；下列何者並不屬於此種「得不給予陳述意見」之情形？
(A) 行政強制執行時所探取之各種處置
(B) 大量作成同種類之處分
(C) 情況急迫，如予陳述意見之機會，顯然違背相對人利益者
(D) 行政處分所根據之事實，客觀上明白足以確認者

(B)321. 有下列何種情形，行政機關得不給予行政處分相對人陳述意見之機會？
(A) 行政制裁時採取之
(B) 各種措施大量作成同種類之處分
(C) 違警事件之處分
(D) 交通事件之處分

(A)322. 行政機關作成限制人民權益之行政處分時，下列何者應給予人民陳述意見之機會？
(A) 處分機關認為，縱給予處分相對人陳述意見，亦不會改變處分結果
(B) 行政強制執行時所採取之處置
(C) 限制權益之程度顯屬輕微'而無事先聽取相對人意見之必要
(D) 大量作成同種類之處分

(D)323. 行政機關作成限制或剝奪人民權利之行政處分前，未給予處分相對人陳述意見之機會，行政處分之效力為何？
(A) 合法；但行政機關得廢止該行政處分
(B) 無效；且行政處分當然不生任何效力
(C) 合法；但行政機關應立即撤銷該行政處分
(D) 違法；得事後補行陳述意見以補正瑕疵

(D)324. 下列何者非屬行政程序法第103條所列，得不給予陳述意見機會之情形？
(A) 大量作成同種類之行政處分
(B) 行政處分所根據之事實，事證明確
(C) 限制權利之內容及程度顯屬輕微
(D) 行政處分相對人得提起訴願程序者

(B)325. 下列何種情形，得不給予當事人陳述意見之機會？
(A) 依法定甄選方式決定承攬世大運文宣活動計畫之廠商
(B) 對納稅義務人寄送依電腦印製之稅捐繳納通知書
(C) 依文化資產保存法指定特定民宅為古蹟
(D) 對合法入境之外國人，以經人檢舉其違法從事工作為由而命其出境

(A)326. 行政機關作成行政處分，下列何者非屬得不給予相對人陳述意見機會之情形？
(A) 相對人不服行政處分時.，無須踐行先行程序，得直接提起訴願者
(B) 大量作成同種類之處分
(C) 行政機關採取強制執行之處置
(D) 行政處分所根據之事實，客觀上明白足以確認者

(C)327. 行政機關作成限制或剝奪人民自由或權利之行政處分時>下列何種情形，得不給予處分相對人陳述意見之機會？
(A) 作成非書面之行政處分時
(B) 作成行政處分之附款時
(C) 大量作成同種類之處分時
(D) 撤銷授益行政處分時

(B)328. 行政機關依第一百零二條給予相對人陳述意見之機會時，應以書面記載事項通知相對人，必要時並公告之，何者為非？
(A) 相對人及其住居所、事務所或營業所
(B) 得依自己之判定而提出陳述書之意旨
(C) 將為限制或剝奪自由或權利行政處分之原因事實及法規依據
(D) 提出陳述書之期限及不提出之效果

(B)329. 行政機關依規定給予相對人陳述意見之機會時，下列何者不是應以書面記載事項通知相對人，必要時並公告之?
(A) 相對人及其住居所事務行政處所或營業所
(B) 得依自己之判定而提出陳述書之旨意
(C) 將為限制或剝奪自由或權利行政處分之原因事實及法規依據
(D) 提出陳述書之期限及不提出之效果

(B)330. 依行政程序法規定行政處分之相對人，不於期間內提出陳述書，其法律效果為何？
(A) 推定其放棄陳述之機會
(B) 視為放棄陳述之機會
(C) 須再為催告使補行提出
(D) 視為撤回原申請

(B)331. 利害關係人提出陳述書，為事實上及法律上陳述，但應釋明下列那一事項？
(A) 釋明其當事人之關係
(B) 釋明其利害關係之所在
(C) 在處分案件中所擔任之角色
(D) 其個人意見及訴求

(C)332. 依行政程序法第105條第1項規定，行政處分之相對人依第104條規定提出之陳述書，應為下列之陳述？
(A) 情況上及判斷上陳述
(B) 法律上及法理上陳述
(C) 事實上及法律上陳述
(D) 事實上及判斷上陳述

(A)333. 行政機關作成行政處分前，若給予當事人陳述意見機會，且當事人以言詞方式陳述意見時，行政機關應作成紀錄>並由陳述人以簽名或蓋章方式確認其內容無誤。若陳述人對紀錄有異議者，請問行政機關應如何處理？
(A) 更正之
(B) 記明其事由後附卷
(C) 報請上級機關裁定
(D) 函請調查局鑑定>以決定正確內容為何

(A)334. 行政機關作成行政處分前，若給予當事人陳述意見機會，且當事人以言詞方式陳述意見時，行政機關應作成紀錄：
(A) 由陳述人以簽名或蓋章
(B) 陳述人在自行郎讀一次以確認
(C) 由陳述人自行再次核對
(D) 由陳述人蓋指印證明

(C)335. 行政機關遇有下列何種情形之一者，舉行聽證？
(A) 法規明文規定應舉行聽證者
(B) 行政機欄認為有舉行聽證之必要者
(C) 以上A,B兩種情形皆是
(D) 以上皆非

(A)336. 關於行政程序法聽證規定之敘述下列何者錯誤？
(A) 僅於法規有明文規定時，行政機關始得舉行聽證
(B) 聽證，由行政機關首長或其指定人員為主持人
(C) 聽證，除法律另有規定外，應公開以言詞為之
(D) 當事人不服經聽證程序作成之行政處分時，免除訴願及及其先行程序

(C)337. 下列有關經聽證做成行政處分之敘述，何者錯誤？
(A) 行政機關作成行政處分前，認為有必要舉行聽證者，得依職權舉行聽證
(B) 行政機關作成經聽證之行政處分，應斟酌全部聽證之結果
(C) 行政機關作成經聽證之行政處分，得以書面'言詞或其他方式通知當事人
(D) 不服經聽證作成行政處分之當事人，得免除訴願及其先行程序，直接提起行政訴訟(113年記帳士】

(D)338. 依行政程序法規定，不服行政程序法第108條聽證程序作成之行政處分者，其行政救濟程序為下列何者？
(A) 聲請復查
(B) 聲請異議
(C) 行政訴願
(D) 逕提行政訴訟

(B)339. 依行政程序法規定不服行政機關經聽證程序所作成之行政處分者，其行政救濟程序，應如何進行？
(A) 經訴願程序或及其他法定先行程序後，方得提起行政訴訟程序
(B) 免除訴願及其先行程序
(C) 須先對聽證結果提起訴願程序
(D) 須先對聽證結果提起請願程序

(D)340. 依行政程序法規定，下列那程行政處分'其行政救濟程序，免除訴願及其先行程序？
(A) 曾通知相對人陳述意見之行政處分
(B) 得不給予相對人陳述意見之機會
(C) 經聽證作成行政處分
(D) 不服行政機關經聽證程序作成之行政處分

(C)341. 書面之行政處分'應送􉀹於何人？
(A) 僅該行政處分之相對人
(B) 僅該行政處分之利害關係人
(C) 該行政處分之相對人及已知之利害關係人
(D) 該行政處分之相對人及第三人

(B)342. 行政處分自何時起生效?
(A) 公告日
(B) 送達時
(C) 通知時
(D) 刊登政府公報時

(D)343. 下列何者不是行政處分發生效力之方式？
(A) 公告
(B) 送達
(C) 通知
(D) 下達

(D)344. 一般處分自何時起發生效力？
(A) 自送達相對人及已知之利害關係人起
(B) 自以其他適當方法通知或使其知悉時起
(C) 公告日或刊登政府公報、新聞紙最後登載次日起
(D) 公告日或刊登政府公報、新聞紙最後登載日起

(D)345. 一般處分自何時起發生效力？
(A) 公告日起
(B) 刊登政府公報日起
(C) 新聞紙最後登載日起
(D) 以上皆是

(D)346. 書面以外之行政處分'應於何時發生效力？
(A) 公告日起
(B) 作成行政處分之日起
(C) 送達該行政處分之相對人及已知之利害關係人
(D) 自以其他適當方法通知或使其知悉時起

(D)347. 無效之行政處分-自何時起失其效力？
